09,09,09,09,09,09,09,13,17,17,17,17,17,12,09,09
09,13,17,17,17,17,17,18,08,06,06,06,07,16,12,09
09,21,08,06,06,06,06,06,00,00,00,00,00,07,16,12
09,21,01,00,00,00,00,00,00,00,00,00,00,00,07,14
13,18,01,00,00,00,00,00,00,00,00,00,00,00,04,14
21,08,00,00,00,00,00,00,00,00,00,00,00,00,04,14
21,03,00,00,00,00,00,00,00,00,00,00,00,00,05,14
11,19,01,00,00,00,00,00,00,00,00,00,00,04,22,10
09,21,03,00,00,00,00,00,00,00,00,00,00,04,14,09
09,11,19,01,00,00,00,00,00,00,00,02,02,05,14,09
09,09,21,01,00,00,00,00,00,00,05,22,20,20,10,09
09,09,21,01,00,00,00,00,00,04,22,10,13,17,17,17
09,09,21,01,00,00,00,00,00,04,14,13,18,08,06,06
09,09,21,03,02,00,00,00,00,05,14,21,08,00,00,00
09,09,11,20,19,03,02,02,05,22,10,21,01,00,00,00
09,09,09,09,11,20,20,20,20,10,09,21,01,00,00,00

0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
